"","Reference","sampleID","Sample.Type","sample.matrix","sample.matrix.specific","compartment","Sampling.apparatus","min_mesh_size_um","max_mesh_size_um","site","specific.location","latitude","longitude","season","particles.L.blank.corrected","particles.fish.blank.corrected","particles.kg.blank.corrected","alpha.05","alpha.50","alpha.95","rescaling_correction_factor_5thPercentile","rescaling_correction_factor_50thPercentile","rescaling_correction_factor_95thPercentile","fiber_correction_factor_5thPercentile","fiber_correction_factor_50thPercentile","fiber_correction_factor_95thPercentile","plastic_proportion_correction_5thPercentile","plastic_proportion_correction_50thPercentile","plastic_proportion_correction_95thPercentile","combined_correction_factor_5thPercentile","combined_correction_factor_50thPercentile","combined_correction_factor_95thPercentile","particles.L_rescaled_corrected_5thPercentile","particles.L_rescaled_corrected_50thPercentile","particles.L_rescaled_corrected_95thPercentile","particles.fish_rescaled_corrected_5thPercentile","particles.fish_rescaled_corrected_50thPercentile","particles.fish_rescaled_corrected_95thPercentile","particles.kg_rescaled_corrected_5thPercentile","particles.kg_rescaled_corrected_50thPercentile","particles.kg_rescaled_corrected_95thPercentile"
"22","Zhu et. al 2021","CCCSD Sept 7 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.9961","-122.0686","dry",0.0778,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,9.4553951982723,30.5298813579369,69.7930671702104,NA,NA,NA,NA,NA,NA
"23","Zhu et. al 2021","FSSD Aug 23 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"38.2233","-122.0829","dry",0.0037,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,0.449678177809865,1.45193523167566,3.31920756465011,NA,NA,NA,NA,NA,NA
"24","Zhu et. al 2021","FSSD Sept 7 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"38.2233","-122.0829","dry",0.0055,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,0.668440534582232,2.1582821011395,4.93395719069611,NA,NA,NA,NA,NA,NA
"25","Zhu et. al 2021","EBMUD Oct 20 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.8236","-122.2956",NA,0.1083,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,13.1622017991374,42.4985366460741,97.1541025004343,NA,NA,NA,NA,NA,NA
"26","Zhu et. al 2021","SFPUC Nov 6 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.7476","-122.3728","wet",0.1593,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,19.3604685743545,62.5116979475495,142.905341905071,NA,NA,NA,NA,NA,NA
"27","Zhu et. al 2021","SFPUC Nov 7 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.7476","-122.3728","wet",0.1816,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,22.0706911054788,71.2625508303514,162.91029560553,NA,NA,NA,NA,NA,NA
"28","Zhu et. al 2021","SUNN Oct 17 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.4193","-122.0162",NA,0.0075,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,0.911509819884862,2.94311195609931,6.72812344185833,NA,NA,NA,NA,NA,NA
"29","Zhu et. al 2021","CCCSD Dec 6 2017","sample","water","wastewater","marine","Composite",110,5000,NA,NA,"37.9961","-122.0686","wet",0.0683,NA,NA,2.52340014051255,2.54009388406155,2.55658254786856,1291.67993053506,1396.86133101399,1509.17246605366,NA,NA,NA,0.0872025862287527,0.280681439591357,0.637940775745074,121.534642651315,392.414927479909,897.083125581111,8.30081609308481,26.8019395468778,61.2707774771899,NA,NA,NA,NA,NA,NA
"30","Zhu et. al 2021","AN LSB06_1","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,24.27,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,339.81076309165,906.465629153957,1934.3355365913,NA,NA,NA
"31","Zhu et. al 2021","AN LSB06_2","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,6.6,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,92.4083657356774,246.504868249531,526.024496971676,NA,NA,NA
"32","Zhu et. al 2021","AN LSB06_4","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,0.87,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,12.1811027560666,32.4938235419836,69.33959278263,NA,NA,NA
"33","Zhu et. al 2021","TS LSB06_1","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,1,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA
"34","Zhu et. al 2021","TS LSB06_2","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,0.93,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,13.0211788082091,34.7347768897066,74.1216336641907,NA,NA,NA
"35","Zhu et. al 2021","TS LSB06_3","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,3.53,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,49.4244744010517,131.842755291037,281.343405198487,NA,NA,NA
"36","Zhu et. al 2021","TS LSB06_4","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,2.4,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,33.6030420857009,89.6381339089203,191.281635262428,NA,NA,NA
"37","Zhu et. al 2021","AN LSB06_3","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,45.07,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,631.037127834391,1683.3294563646,3592.10970886567,NA,NA,NA
"38","Zhu et. al 2021","TS LSB06_5","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,8,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,112.01014028567,298.793779696401,637.605450874759,NA,NA,NA
"39","Zhu et. al 2021","TS LSB06_6","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,11.67,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,163.394792141721,435.865426132125,930.106951463555,NA,NA,NA
"40","Zhu et. al 2021","TS LSB06_7","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,5.73,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,80.2272629796109,214.011044707547,456.684904189046,NA,NA,NA
